<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCB;D;210113;000000;74.5157;74.5157;74.5157;74.5157;0
USDCB;D;210114;000000;74.2663;74.2663;74.2663;74.2663;0
USDCB;D;210115;000000;73.5264;73.5264;73.5264;73.5264;0
USDCB;D;210116;000000;73.7961;73.7961;73.7961;73.7961;0
USDCB;D;210117;000000;73.5453;73.5453;73.5453;73.5453;0
USDCB;D;210120;000000;73.9735;73.9735;73.9735;73.9735;0
USDCB;D;210121;000000;73.7243;73.7243;73.7243;73.7243;0
USDCB;D;210122;000000;73.355;73.355;73.355;73.355;0
USDCB;D;210123;000000;73.3694;73.3694;73.3694;73.3694;0
USDCB;D;210124;000000;74.3615;74.3615;74.3615;74.3615;0
USDCB;D;210127;000000;74.8569;74.8569;74.8569;74.8569;0
USDCB;D;210128;000000;75.6354;75.6354;75.6354;75.6354;0
USDCB;D;210129;000000;75.04;75.04;75.04;75.04;0
USDCB;D;210130;000000;76.1854;76.1854;76.1854;76.1854;0
USDCB;D;210131;000000;76.2527;76.2527;76.2527;76.2527;0
USDCB;D;210203;000000;75.5053;75.5053;75.5053;75.5053;0
USDCB;D;210204;000000;75.9051;75.9051;75.9051;75.9051;0
USDCB;D;210205;000000;76.0801;76.0801;76.0801;76.0801;0
USDCB;D;210206;000000;75.7293;75.7293;75.7293;75.7293;0
USDCB;D;210207;000000;75.1107;75.1107;75.1107;75.1107;0
USDCB;D;210210;000000;74.2602;74.2602;74.2602;74.2602;0
USDCB;D;210211;000000;74.1192;74.1192;74.1192;74.1192;0
USDCB;D;210212;000000;73.8526;73.8526;73.8526;73.8526;0
USDCB;D;210213;000000;73.7579;73.7579;73.7579;73.7579;0
USDCB;D;210214;000000;73.9378;73.9378;73.9378;73.9378;0
USDCB;D;210217;000000;73.3092;73.3092;73.3092;73.3092;0
USDCB;D;210218;000000;73.2895;73.2895;73.2895;73.2895;0
USDCB;D;210219;000000;73.7669;73.7669;73.7669;73.7669;0
USDCB;D;210220;000000;73.7755;73.7755;73.7755;73.7755;0
USDCB;D;210221;000000;73.9717;73.9717;73.9717;73.9717;0
USDCB;D;210222;000000;73.9833;73.9833;73.9833;73.9833;0
USDCB;D;210226;000000;73.7532;73.7532;73.7532;73.7532;0
USDCB;D;210227;000000;73.4747;73.4747;73.4747;73.4747;0
USDCB;D;210228;000000;74.4373;74.4373;74.4373;74.4373;0
USDCB;D;210303;000000;74.0448;74.0448;74.0448;74.0448;0
USDCB;D;210304;000000;74.5755;74.5755;74.5755;74.5755;0
USDCB;D;210305;000000;73.5187;73.5187;73.5187;73.5187;0
USDCB;D;210306;000000;73.7864;73.7864;73.7864;73.7864;0
USDCB;D;210307;000000;74.4275;74.4275;74.4275;74.4275;0
USDCB;D;210311;000000;74.264;74.264;74.264;74.264;0
USDCB;D;210312;000000;74.0393;74.0393;74.0393;74.0393;0
USDCB;D;210313;000000;73.4996;73.4996;73.4996;73.4996;0
USDCB;D;210314;000000;73.5081;73.5081;73.5081;73.5081;0
USDCB;D;210317;000000;73.2317;73.2317;73.2317;73.2317;0
USDCB;D;210318;000000;72.9619;72.9619;72.9619;72.9619;0
USDCB;D;210319;000000;73.1019;73.1019;73.1019;73.1019;0
USDCB;D;210320;000000;73.6582;73.6582;73.6582;73.6582;0
USDCB;D;210321;000000;74.139;74.139;74.139;74.139;0
USDCB;D;210324;000000;74.6085;74.6085;74.6085;74.6085;0
USDCB;D;210325;000000;75.3585;75.3585;75.3585;75.3585;0
USDCB;D;210326;000000;76.1535;76.1535;76.1535;76.1535;0
USDCB;D;210327;000000;76.1741;76.1741;76.1741;76.1741;0
USDCB;D;210328;000000;75.7576;75.7576;75.7576;75.7576;0
USDCB;D;210331;000000;75.8287;75.8287;75.8287;75.8287;0
USDCB;D;210401;000000;75.7023;75.7023;75.7023;75.7023;0
USDCB;D;210402;000000;75.6373;75.6373;75.6373;75.6373;0
USDCB;D;210403;000000;75.8073;75.8073;75.8073;75.8073;0
USDCB;D;210404;000000;76.0734;76.0734;76.0734;76.0734;0
USDCB;D;210407;000000;76.6052;76.6052;76.6052;76.6052;0
USDCB;D;210408;000000;76.3802;76.3802;76.3802;76.3802;0
USDCB;D;210409;000000;77.773;77.773;77.773;77.773;0
USDCB;D;210410;000000;77.1011;77.1011;77.1011;77.1011;0
USDCB;D;210411;000000;77.1657;77.1657;77.1657;77.1657;0
USDCB;D;210414;000000;77.5104;77.5104;77.5104;77.5104;0
USDCB;D;210415;000000;77.2535;77.2535;77.2535;77.2535;0
USDCB;D;210416;000000;75.6826;75.6826;75.6826;75.6826;0
USDCB;D;210417;000000;76.9808;76.9808;76.9808;76.9808;0
USDCB;D;210418;000000;75.5535;75.5535;75.5535;75.5535;0
USDCB;D;210421;000000;76.2491;76.2491;76.2491;76.2491;0
USDCB;D;210422;000000;76.0155;76.0155;76.0155;76.0155;0
USDCB;D;210423;000000;76.8198;76.8198;76.8198;76.8198;0
